student_id,name,email,semester,course,offer_code
2024000001,Adrian Martinez,adrian.martinez@student.university.edu,2024-1,BS Computer Science,11000
2024000002,Brianna Thompson,brianna.thompson@student.university.edu,2024-1,BS Computer Science,11000
2024000003,Carlos Rodriguez,carlos.rodriguez@student.university.edu,2024-1,BS Computer Science,11000
2024000004,Diana Kim,diana.kim@student.university.edu,2024-1,BS Computer Science,11000
2024000005,Ethan Chen,ethan.chen@student.university.edu,2024-1,BS Computer Science,11000
2024000006,Fiona O'Connor,fiona.oconnor@student.university.edu,2024-1,BS Computer Science,11000
2024000007,Gabriel Santos,gabriel.santos@student.university.edu,2024-1,BS Computer Science,11000
2024000008,Hannah Williams,hannah.williams@student.university.edu,2024-1,BS Computer Science,11000
2024000009,Isaac Johnson,isaac.johnson@student.university.edu,2024-1,BS Computer Science,11000
2024000010,Jasmine Lee,jasmine.lee@student.university.edu,2024-1,BS Computer Science,11000
2024000011,Kevin Brown,kevin.brown@student.university.edu,2024-1,BS Computer Science,11001
2024000012,Luna Davis,luna.davis@student.university.edu,2024-1,BS Computer Science,11001
2024000013,Marcus Wilson,marcus.wilson@student.university.edu,2024-1,BS Computer Science,11001
2024000014,Natalie Garcia,natalie.garcia@student.university.edu,2024-1,BS Computer Science,11001
2024000015,Oscar Martinez,oscar.martinez@student.university.edu,2024-1,BS Computer Science,11001
2024000016,Penelope Taylor,penelope.taylor@student.university.edu,2024-1,BS Computer Science,11001
2024000017,Quinn Anderson,quinn.anderson@student.university.edu,2024-1,BS Computer Science,11001
2024000018,Rachel Thomas,rachel.thomas@student.university.edu,2024-1,BS Computer Science,11001
2024000019,Samuel White,samuel.white@student.university.edu,2024-1,BS Computer Science,11001
2024000020,Tessa Moore,tessa.moore@student.university.edu,2024-1,BS Computer Science,11001
2024000021,Uriah Jackson,uriah.jackson@student.university.edu,2024-1,BS Computer Science,11002
2024000022,Victoria Harris,victoria.harris@student.university.edu,2024-1,BS Computer Science,11002
2024000023,William Clark,william.clark@student.university.edu,2024-1,BS Computer Science,11002
2024000024,Ximena Lewis,ximena.lewis@student.university.edu,2024-1,BS Computer Science,11002
2024000025,Yusuf Walker,yusuf.walker@student.university.edu,2024-1,BS Computer Science,11002
2024000026,Zara Hall,zara.hall@student.university.edu,2024-1,BS Computer Science,11002
2024000027,Adam Young,adam.young@student.university.edu,2024-1,BS Computer Science,11002
2024000028,Bella King,bella.king@student.university.edu,2024-1,BS Computer Science,11002
2024000029,Caleb Wright,caleb.wright@student.university.edu,2024-1,BS Computer Science,11002
2024000030,Daisy Lopez,daisy.lopez@student.university.edu,2024-1,BS Computer Science,11002
2024000031,Elijah Hill,elijah.hill@student.university.edu,2024-1,BS Computer Science,11003
2024000032,Freya Scott,freya.scott@student.university.edu,2024-1,BS Computer Science,11003
2024000033,Grayson Green,grayson.green@student.university.edu,2024-1,BS Computer Science,11003
2024000034,Hazel Adams,hazel.adams@student.university.edu,2024-1,BS Computer Science,11003
2024000035,Ivan Baker,ivan.baker@student.university.edu,2024-1,BS Computer Science,11003
2024000036,Julia Nelson,julia.nelson@student.university.edu,2024-1,BS Computer Science,11003
2024000037,Kai Carter,kai.carter@student.university.edu,2024-1,BS Computer Science,11003
2024000038,Lily Mitchell,lily.mitchell@student.university.edu,2024-1,BS Computer Science,11003
2024000039,Mason Perez,mason.perez@student.university.edu,2024-1,BS Computer Science,11003
2024000040,Nora Roberts,nora.roberts@student.university.edu,2024-1,BS Computer Science,11003
2024000041,Oliver Turner,oliver.turner@student.university.edu,2024-1,BS Computer Science,11004
2024000042,Phoebe Phillips,phoebe.phillips@student.university.edu,2024-1,BS Computer Science,11004
2024000043,Quentin Campbell,quentin.campbell@student.university.edu,2024-1,BS Computer Science,11004
2024000044,Ruby Parker,ruby.parker@student.university.edu,2024-1,BS Computer Science,11004
2024000045,Sebastian Evans,sebastian.evans@student.university.edu,2024-1,BS Computer Science,11004
2024000046,Talia Edwards,talia.edwards@student.university.edu,2024-1,BS Computer Science,11004
2024000047,Ulrich Collins,ulrich.collins@student.university.edu,2024-1,BS Computer Science,11004
2024000048,Violet Stewart,violet.stewart@student.university.edu,2024-1,BS Computer Science,11004
2024000049,Wyatt Sanchez,wyatt.sanchez@student.university.edu,2024-1,BS Computer Science,11004
2024000050,Xara Morris,xara.morris@student.university.edu,2024-1,BS Computer Science,11004
2024000051,Alexander Rivera,alexander.rivera@student.university.edu,2024-2,BS Computer Science,12000
2024000052,Brooke Reed,brooke.reed@student.university.edu,2024-2,BS Computer Science,12000
2024000053,Cole Cook,cole.cook@student.university.edu,2024-2,BS Computer Science,12000
2024000054,Delilah Morgan,delilah.morgan@student.university.edu,2024-2,BS Computer Science,12000
2024000055,Ezra Bell,ezra.bell@student.university.edu,2024-2,BS Computer Science,12000
2024000056,Felicity Murphy,felicity.murphy@student.university.edu,2024-2,BS Computer Science,12000
2024000057,Gideon Bailey,gideon.bailey@student.university.edu,2024-2,BS Computer Science,12000
2024000058,Harmony Rivera,harmony.rivera@student.university.edu,2024-2,BS Computer Science,12000
2024000059,Isaiah Cooper,isaiah.cooper@student.university.edu,2024-2,BS Computer Science,12000
2024000060,Jade Richardson,jade.richardson@student.university.edu,2024-2,BS Computer Science,12000
2024000061,Kai Cox,kai.cox@student.university.edu,2024-2,BS Computer Science,12001
2024000062,Luna Ward,luna.ward@student.university.edu,2024-2,BS Computer Science,12001
2024000063,Miles Torres,miles.torres@student.university.edu,2024-2,BS Computer Science,12001
2024000064,Nova Peterson,nova.peterson@student.university.edu,2024-2,BS Computer Science,12001
2024000065,Owen Gray,owen.gray@student.university.edu,2024-2,BS Computer Science,12001
2024000066,Peyton Ramirez,peyton.ramirez@student.university.edu,2024-2,BS Computer Science,12001
2024000067,Quinn James,quinn.james@student.university.edu,2024-2,BS Computer Science,12001
2024000068,Ruby Watson,ruby.watson@student.university.edu,2024-2,BS Computer Science,12001
2024000069,Sage Brooks,sage.brooks@student.university.edu,2024-2,BS Computer Science,12001
2024000070,Tristan Kelly,tristan.kelly@student.university.edu,2024-2,BS Computer Science,12001
2024000071,Una Sanders,una.sanders@student.university.edu,2024-2,BS Computer Science,12002
2024000072,Vaughn Price,vaughn.price@student.university.edu,2024-2,BS Computer Science,12002
2024000073,Willow Bennett,willow.bennett@student.university.edu,2024-2,BS Computer Science,12002
2024000074,Xavier Wood,xavier.wood@student.university.edu,2024-2,BS Computer Science,12002
2024000075,Yara Barnes,yara.barnes@student.university.edu,2024-2,BS Computer Science,12002
2024000076,Zion Ross,zion.ross@student.university.edu,2024-2,BS Computer Science,12002
2024000077,Aria Henderson,aria.henderson@student.university.edu,2024-2,BS Computer Science,12002
2024000078,Blake Coleman,blake.coleman@student.university.edu,2024-2,BS Computer Science,12002
2024000079,Callie Jenkins,callie.jenkins@student.university.edu,2024-2,BS Computer Science,12002
2024000080,Drake Perry,drake.perry@student.university.edu,2024-2,BS Computer Science,12002
2024000081,Emery Powell,emery.powell@student.university.edu,2024-2,BS Computer Science,12003
2024000082,Finn Long,finn.long@student.university.edu,2024-2,BS Computer Science,12003
2024000083,Gemma Patterson,gemma.patterson@student.university.edu,2024-2,BS Computer Science,12003
2024000084,Hunter Hughes,hunter.hughes@student.university.edu,2024-2,BS Computer Science,12003
2024000085,Iris Flores,iris.flores@student.university.edu,2024-2,BS Computer Science,12003
2024000086,Jasper Washington,jasper.washington@student.university.edu,2024-2,BS Computer Science,12003
2024000087,Kira Butler,kira.butler@student.university.edu,2024-2,BS Computer Science,12003
2024000088,Leo Simmons,leo.simmons@student.university.edu,2024-2,BS Computer Science,12003
2024000089,Maya Foster,maya.foster@student.university.edu,2024-2,BS Computer Science,12003
2024000090,Nolan Gonzales,nolan.gonzales@student.university.edu,2024-2,BS Computer Science,12003
2024000091,Opal Bryant,opal.bryant@student.university.edu,2024-2,BS Computer Science,12004
2024000092,Phoenix Alexander,phoenix.alexander@student.university.edu,2024-2,BS Computer Science,12004
2024000093,Quinn Russell,quinn.russell@student.university.edu,2024-2,BS Computer Science,12004
2024000094,River Griffin,river.griffin@student.university.edu,2024-2,BS Computer Science,12004
2024000095,Sage Diaz,sage.diaz@student.university.edu,2024-2,BS Computer Science,12004
2024000096,Taylor Hayes,taylor.hayes@student.university.edu,2024-2,BS Computer Science,12004
2024000097,Unity Myers,unity.myers@student.university.edu,2024-2,BS Computer Science,12004
2024000098,Vera Ford,vera.ford@student.university.edu,2024-2,BS Computer Science,12004
2024000099,Wade Hamilton,wade.hamilton@student.university.edu,2024-2,BS Computer Science,12004
2024000100,Xara Graham,xara.graham@student.university.edu,2024-2,BS Computer Science,12004
2024000101,Yara Sullivan,yara.sullivan@student.university.edu,2024-S,BS Computer Science,13000
2024000102,Zane Wallace,zane.wallace@student.university.edu,2024-S,BS Computer Science,13000
2024000103,Atlas Woods,atlas.woods@student.university.edu,2024-S,BS Computer Science,13000
2024000104,Briar Cole,briar.cole@student.university.edu,2024-S,BS Computer Science,13000
2024000105,Celeste West,celeste.west@student.university.edu,2024-S,BS Computer Science,13000
2024000106,Dante Jordan,dante.jordan@student.university.edu,2024-S,BS Computer Science,13000
2024000107,Elara Owens,elara.owens@student.university.edu,2024-S,BS Computer Science,13000
2024000108,Felix Reynolds,felix.reynolds@student.university.edu,2024-S,BS Computer Science,13000
2024000109,Grace Fisher,grace.fisher@student.university.edu,2024-S,BS Computer Science,13000
2024000110,Hudson Ellis,hudson.ellis@student.university.edu,2024-S,BS Computer Science,13000
2024000111,Iris Harrison,iris.harrison@student.university.edu,2024-S,BS Computer Science,13001
2024000112,Jasper Gibson,jasper.gibson@student.university.edu,2024-S,BS Computer Science,13001
2024000113,Kira Mcdonald,kira.mcdonald@student.university.edu,2024-S,BS Computer Science,13001
2024000114,Leo Cruz,leo.cruz@student.university.edu,2024-S,BS Computer Science,13001
2024000115,Maya Marshall,maya.marshall@student.university.edu,2024-S,BS Computer Science,13001
2024000116,Nolan Ortiz,nolan.ortiz@student.university.edu,2024-S,BS Computer Science,13001
2024000117,Opal Gomez,opal.gomez@student.university.edu,2024-S,BS Computer Science,13001
2024000118,Phoenix Murray,phoenix.murray@student.university.edu,2024-S,BS Computer Science,13001
2024000119,Quinn Freeman,quinn.freeman@student.university.edu,2024-S,BS Computer Science,13001
2024000120,River Wells,river.wells@student.university.edu,2024-S,BS Computer Science,13001
2024000121,Sage Webb,sage.webb@student.university.edu,2024-S,BS Computer Science,13002
2024000122,Taylor Simpson,taylor.simpson@student.university.edu,2024-S,BS Computer Science,13002
2024000123,Unity Stevens,unity.stevens@student.university.edu,2024-S,BS Computer Science,13002
2024000124,Vera Tucker,vera.tucker@student.university.edu,2024-S,BS Computer Science,13002
2024000125,Wade Porter,wade.porter@student.university.edu,2024-S,BS Computer Science,13002
2024000126,Xara Hunter,xara.hunter@student.university.edu,2024-S,BS Computer Science,13002
2024000127,Yara Hicks,yara.hicks@student.university.edu,2024-S,BS Computer Science,13002
2024000128,Zane Crawford,zane.crawford@student.university.edu,2024-S,BS Computer Science,13002
2024000129,Atlas Boyd,atlas.boyd@student.university.edu,2024-S,BS Computer Science,13002
2024000130,Briar Mason,briar.mason@student.university.edu,2024-S,BS Computer Science,13002
2024000131,Celeste Morales,celeste.morales@student.university.edu,2024-S,BS Computer Science,13003
2024000132,Dante Kennedy,dante.kennedy@student.university.edu,2024-S,BS Computer Science,13003
2024000133,Elara Warren,elara.warren@student.university.edu,2024-S,BS Computer Science,13003
2024000134,Felix Dixon,felix.dixon@student.university.edu,2024-S,BS Computer Science,13003
2024000135,Grace Ramos,grace.ramos@student.university.edu,2024-S,BS Computer Science,13003
2024000136,Hudson Reyes,hudson.reyes@student.university.edu,2024-S,BS Computer Science,13003
2024000137,Iris Burns,iris.burns@student.university.edu,2024-S,BS Computer Science,13003
2024000138,Jasper Gordon,jasper.gordon@student.university.edu,2024-S,BS Computer Science,13003
2024000139,Kira Shaw,kira.shaw@student.university.edu,2024-S,BS Computer Science,13003
2024000140,Leo Holmes,leo.holmes@student.university.edu,2024-S,BS Computer Science,13003
